ISO code,Data Awal,Country and areas,Indicator,Measure,Estimate,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BOL,"BOL (Bolivia - Plurinational State of): Longitude (lon) = -64,6854; Latitude (lat) = -16,5000",Bolivia (Plurinational State of),Stunting,Proportion,Point Estimate,33,32,32,31,31,30,29,27,26,24,23,21,20,19,18,17,16,15,14,13,12,12,11
BRN,"BRN (Brunei Darussalam): Longitude (lon) = 114,7277; Latitude (lat) = 4,5353",Brunei Darussalam,Stunting,Proportion,Point Estimate,21,22,22,22,22,21,21,21,20,19,18,18,17,16,16,15,14,14,13,12,12,11,11
VEN,"VEN (Venezuela - Bolivarian Republic of): Longitude (lon) = -66,5897; Latitude (lat) = 6,4238",Venezuela (Bolivarian Republic of),Stunting,Proportion,Point Estimate,18,17,17,17,17,17,16,16,15,14,13,13,12,12,11,11,11,11,11,11,11,11,11
KGZ,"KGZ (Kyrgyzstan): Longitude (lon) = 74,7661; Latitude (lat) = 41,2044",Kyrgyzstan,Stunting,Proportion,Point Estimate,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,14,13,12,12,12,11,11,10
PER,"PER (Peru): Longitude (lon) = -75,5277; Latitude (lat) = -9,1900",Peru,Stunting,Proportion,Point Estimate,31,31,30,29,29,28,27,26,25,23,22,20,19,17,16,15,14,13,12,12,11,11,10
SLV,"SLV (El Salvador): Longitude (lon) = -88,8701; Latitude (lat) = 13,7942",El Salvador,Stunting,Proportion,Point Estimate,29,28,27,26,25,24,22,21,20,19,18,16,16,15,14,13,12,12,11,11,11,10,10
STP,"STP (Sao Tome and Principe): Longitude (lon) = 6,6131; Latitude (lat) = 0,1864",Sao Tome and Principe,Stunting,Proportion,Point Estimate,31,31,30,29,28,27,26,25,24,23,21,20,19,18,17,16,15,14,13,12,11,11,10
IRQ,"IRQ (Iraq): Longitude (lon) = 43,6793; Latitude (lat) = 33,2232",Iraq,Stunting,Proportion,Point Estimate,28,28,28,28,27,27,27,26,25,24,23,21,20,18,17,16,15,14,13,12,11,11,10
ARG,"ARG (Argentina): Longitude (lon) = -63,6167; Latitude (lat) = -38,4161",Argentina,Stunting,Proportion,Point Estimate,9,9,9,8,8,8,8,7,7,7,7,7,7,7,8,8,8,8,8,9,9,9,10
CRI,"CRI (Costa Rica): Longitude (lon) = -84,6300; Latitude (lat) = 9,7489",Costa Rica,Stunting,Proportion,Point Estimate,7,7,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,8,8,9,9,9,10
CPV,"CPV (Cabo Verde): Longitude (lon) = -23,0418; Latitude (lat) = 16,5388",Cabo Verde,Stunting,Proportion,Point Estimate,18,17,17,16,16,16,15,15,15,14,14,13,13,12,12,11,11,11,11,10,10,10,9
TTO,"Trinidad and Tobago (TTO): Longitude (lon) = -61,2225; Latitude (lat) = 10,6918",Trinidad and Tobago,Stunting,Proportion,Point Estimate,5,6,6,6,7,7,7,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9
DZA,"Algeria (DZA): Longitude (lon) = 2,6322; Latitude (lat) = 28,1636",Algeria,Stunting,Proportion,Point Estimate,22,22,21,20,19,18,17,16,15,14,14,13,12,12,11,11,10,10,10,9,9,9,9
MUS,"Mauritius (MUS): Longitude (lon) = 63,5073; Latitude (lat) = -20,3487",Mauritius,Stunting,Proportion,Point Estimate,13,12,12,12,11,11,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9
TUN,"Tunisia (TUN): Longitude (lon) = 9,1900; Latitude (lat) = 33,8869",Tunisia,Stunting,Proportion,Point Estimate,13,12,12,12,11,11,11,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9
ALB,"Albania (ALB): Longitude (lon) = 20,1683; Latitude (lat) = 41,1533",Albania,Stunting,Proportion,Point Estimate,30,30,30,29,29,28,26,25,23,21,19,18,16,15,14,14,13,12,11,10,10,9,8
MNE,"Montenegro (MNE): Longitude (lon) = 19,2636; Latitude (lat) = 42,7087",Montenegro,Stunting,Proportion,Point Estimate,7,8,8,8,8,8,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8
BIH,"Bosnia and Herzegovina (BIH): Longitude (lon) = 17,7681; Latitude (lat) = 44,1746",Bosnia and Herzegovina,Stunting,Proportion,Point Estimate,12,12,12,11,11,11,11,11,11,10,10,10,9,9,9,9,9,8,8,8,8,8,8
ROU,"Romania (ROU): Longitude (lon) = 24,9726; Latitude (lat) = 45,9432",Romania,Stunting,Proportion,Point Estimate,14,13,13,13,13,12,12,12,11,11,10,10,9,9,9,9,9,8,8,8,8,8,8
GUY,"Guyana (GUY): Longitude (lon) = -58,1561; Latitude (lat) = 6,8067",Guyana,Stunting,Proportion,Point Estimate,15,15,16,16,17,17,18,18,18,17,16,16,15,14,13,12,11,10,10,9,9,8,8
SUR,"Suriname (SUR): Longitude (lon) = -55,9121; Latitude (lat) = 5,8657",Suriname,Stunting,Proportion,Point Estimate,14,13,13,12,11,11,11,10,10,9,9,9,8,8,8,8,8,8,8,8,8,8,8
PSE,"State of Palestine (PSE): Longitude (lon) = 35,2867; Latitude (lat) = 31,9522",State of Palestine,Stunting,Proportion,Point Estimate,10,10,11,11,11,11,12,12,12,11,11,11,10,10,9,9,9,8,8,8,8,8,8
LBN,"Lebanon (LBN): Longitude (lon) = 35,8623; Latitude (lat) = 33,8547",Lebanon,Stunting,Proportion,Point Estimate,18,17,17,17,16,16,17,17,16,16,15,13,12,11,10,9,9,9,8,8,8,8,7
WSM,"Samoa (WSM): Longitude (lon) = -172,1648; Latitude (lat) = -13,7590",Samoa,Stunting,Proportion,Point Estimate,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,7,7
ARM,"Armenia (ARM): Longitude (lon) = 44,9293; Latitude (lat) = 40,2895",Armenia,Stunting,Proportion,Point Estimate,17,18,19,20,20,21,20,20,19,18,16,15,14,13,12,11,10,10,9,9,8,8,7
BRA,"Brazil (BRA): Longitude (lon) = -47,9292; Latitude (lat) = -15,7801",Brazil,Stunting,Proportion,Point Estimate,10,9,9,8,8,7,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7
SYC,"Seychelles (SYC): Longitude (lon) = 55,4915; Latitude (lat) = -4,6796",Seychelles,Stunting,Proportion,Point Estimate,11,10,10,10,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,7,7
FJI,"Fiji (FJI): Longitude (lon) = 178,0650; Latitude (lat) = -17,7134",Fiji,Stunting,Proportion,Point Estimate,6,6,7,7,7,8,8,9,9,9,9,9,9,8,8,8,8,7,7,7,7,7,7
CUB,"Cuba (CUB): Longitude (lon) = -79,0193; Latitude (lat) = 21,5218",Cuba,Stunting,Proportion,Point Estimate,7,7,7,7,7,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7
